soc_code,occupation_name,communication,danger,experience,interaction_complexity,pace_of_work,physicality,uncertain_decisions,variety,category_name,num_employed,mean_annual_wage,med_annual_wage
251072,"Nursing Instructors and Teachers, Postsecondary",-0.17035966063818453,-0.4740367766613543,-1.3241635400187357,-1.3722952551375314,-1.5057035353730883,-1.0055063014535424,-0.9643878790258152,-0.8958830757728002,"Education, Training, and Library Occupations",11308.108108108108,80737.02702702703,77768.64864864865
251121,"Art, Drama, and Music Teachers, Postsecondary",0.22469999748770209,-0.93554031461365,-1.3241635400187357,0.1878635285325325,-1.5057035353730883,-0.8211421094677347,-0.9643878790258152,-0.8958830757728002,"Education, Training, and Library Occupations",27448.46153846154,75999.16666666667,64924.166666666664
251123,"English Language and Literature Teachers, Postsecondary",0.11400354729471344,-0.93554031461365,-0.3346778287836737,0.7622165240559882,-0.1918260126145685,-0.6564870315733883,1.058986058261851,-0.8958830757728002,"Education, Training, and Library Occupations",21317.6,73423.2,63561.6
251194,"Vocational Education Teachers, Postsecondary",0.5217750222996543,-0.7074359797152764,-0.7923367812347983,-0.6306556856659365,0.3834039475981169,-0.706187973279187,-0.9643878790258152,-0.8958830757728002,"Education, Training, and Library Occupations",12852.923076923076,59689.51219512195,55828.65853658537
251199,"Postsecondary Teachers, All Other",-1.6323694025357631,-0.93554031461365,-1.3241635400187357,-0.924402136628824,0.0402269826985035,-1.1766408036044775,0.2888543485601735,-0.8958830757728002,"Education, Training, and Library Occupations",35879.705882352944,67159.03225806452,59314.51612903226
252011,"Preschool Teachers, Except Special Education",1.1946026173868989,0.35519645389053683,1.2040385953622452,0.6980089634513696,-0.025140058234756187,1.1319447352014536,0.6721396978420049,-0.01698743962059835,"Education, Training, and Library Occupations",27419.036144578313,36450.60240963855,33703.614457831325
252012,"Kindergarten Teachers, Except Special Education",1.0037979907453976,0.15166809298068235,-0.6852610353778492,0.16070019874734282,0.3932090037381057,0.755459276981568,0.3569379303404989,-0.10980810086439524,"Education, Training, and Library Occupations",33009.09090909091,51037.93103448276,47616.206896551725
252021,"Elementary School Teachers, Except Special Education",1.1344673450911955,-0.13354748636424124,0.4490472705375565,1.1526395001216612,0.2918900902915533,0.28183886530321234,0.15268718499952286,0.5682397960064627,"Education, Training, and Library Occupations",271218.7804878049,53135.11111111111,50364.22222222222
252022,"Middle School Teachers, Except Special and Career/Technical Education",1.1311415600325028,-0.30295049927658074,0.32485776548874185,1.259607945427183,0.7135075043110781,0.020488004196847254,0.08712521735920943,-0.3421307270074657,"Education, Training, and Library Occupations",175082.85714285713,56381.333333333336,53380.666666666664
252031,"Secondary School Teachers, Except Special and Career/Technical Education",1.1128326425689672,-0.3959262046288357,0.2621425853947965,1.0945149382740569,0.4814545089980064,0.07782410311135132,1.5954710062613469,0.7584500293256873,"Education, Training, and Library Occupations",179666.0,57508.444444444445,54370.22222222222
